material,geometry,model,qe_pair,ml_pair,gamma_overlap_squared,q_overlap_squared,gamma_subspace_dimension,q_subspace_dimension,comparison_level,raw_qe_status,qe_abs_phi122,qe_phi1122,ml_abs_phi122,ml_phi1122
wse2,model_relaxed,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9998484200671498,0.9973775175440764,1,1,directional_reference,recovered_real_coordinate_fit,30.581270840938974,1.9043965254678332,25.939069475446015,3.1165298150512277
wse2,model_relaxed,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9998484200671498,0.9983882823457778,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,27.767677293480986,,22.783551897320997,1.2655452806122347
wse2,model_relaxed,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.9998484200671498,0.9981824739852284,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,22.478603522962032,,18.37942940848184,1.646703603316424
wse2,model_relaxed,equiformer-v3,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9998484200671498,0.9968961115202094,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,21.19245643221083,,17.668805803570972,1.5545280612244972
wse2,model_relaxed,equiformer-v3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9998484200671498,0.9976853856591588,1,2,directional_reference,archived_third_order_only_raw_grid_unavailable,19.853000984712573,,17.20668247767815,1.5993702168368706
wse2,shared_dft,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9998376117294104,0.9976513147089962,1,1,directional_reference,recovered_real_coordinate_fit,30.581270840938974,1.9043965254678332,31.265694754465432,2.516143176020752
wse2,shared_dft,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9998376117294104,0.9994840492080209,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,27.767677293480986,,27.7134486607145,1.5644929846941324
wse2,shared_dft,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.9998376117294104,0.9999706046184568,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,22.478603522962032,,22.469656808036213,2.0577566964284366
wse2,shared_dft,tece,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9998376117294104,0.9976253638764163,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,21.19245643221083,,21.11642020089413,1.3203523596929667
wse2,shared_dft,tece,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9998376117294104,0.9992164862059351,1,2,directional_reference,archived_third_order_only_raw_grid_unavailable,19.853000984712573,,20.799037388393252,1.270527742347649
