material,model,geometry,qx,qy,qe_mode,ml_mode,qe_frequency_thz,ml_frequency_thz,frequency_difference_thz,single_overlap_squared,qe_subspace_dimension,subspace_minimum_overlap_squared,gamma_point
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,5,5,9.960727,9.528709775376392,-0.4320172246236087,0.9987512953253632,1,0.9987512953253632,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,6,6,10.732538,10.214770284206766,-0.5177677157932337,0.9981004994664046,1,0.9981004994664043,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,7,7,11.5828,10.830231085005488,-0.7525689149945123,0.9986722425175647,1,0.9986722425175647,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,8,8,12.467444,11.839757960212319,-0.6276860397876813,0.9975547312971436,1,0.9975547312971436,False
mos2,tece,model_relaxed,0.16666666666666666,0.16666666666666666,9,9,12.650502,11.96639637854842,-0.6841056214515788,0.9991094712224503,1,0.9991094712224503,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,1,1,4.873539,4.7573029764912125,-0.11623602350878759,0.9995841561380971,1,0.9995841561380969,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,2,2,5.368917,5.114928864645511,-0.25398813535448905,0.9992445173279282,1,0.9992445173279284,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,3,3,6.649682,6.37722539363485,-0.2724566063651501,0.9979531936607243,1,0.9979531936607243,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,4,4,9.645211,9.108227547467662,-0.536983452532338,0.9976253975450247,1,0.9976253975450249,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,5,5,10.130781,9.664644057641931,-0.46613694235806946,0.9991819469428573,1,0.9991819469428573,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,6,6,10.499809,10.04839848836295,-0.45141051163705015,0.9965620955606402,1,0.9965620955606402,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,7,7,11.498344,10.704576145802761,-0.7937678541972382,0.9941271838764238,1,0.9941271838764238,False
