material,model,qe_pair,qe_phi122,qe_phi1122,qe_gamma_thz,qe_q_thz,legacy_to_unit_norm_scale,phi122,phi1122,stage1_gamma_thz,stage1_q_thz,stage2_gamma_thz,stage2_q_thz,fit_center_rmse_ev,fit_wide_rmse_ev,gamma_overlap2,q_overlap2,q_subspace_dimension,phi111,phi112,phi222,c10_ev,c01_ev,wide_phi122,wide_phi1122,energy_accumulation,grid_points,inference_seconds,grid_min_q1,grid_min_q2,phi122_error,phi122_relative_error_percent,phi1122_error
wse2,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,27.767677293480986,,7.545686,7.915659,0.9999987809773,22.666604178292044,1.2776900310907946,7.232128020653701,7.404163558101032,7.225436129082901,7.616592778498528,3.2412536928367376e-06,6.099709137665586e-05,0.9998445556971985,0.9999015228031827,1,-23.573684692380905,0.0018528529580756547,-0.0041961669891329954,-0.0018529278891423059,-2.8837294746362277e-07,22.854581505361217,1.258575510369675,atomic_float32_sum_float64_v2,81,4.306733110686764,0.0,0.0,-5.101073115188942,-18.37054306442304,
wse2,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,27.767677293480986,,7.545686,7.915659,0.9999987809773,23.00224304199255,1.3167712153222544,7.176936976787001,7.583760190005563,7.226214393964673,7.615885166947383,3.4979432095752022e-06,6.209581844182581e-05,0.9998024245764656,0.9977499245771777,2,23.624420166017522,0.001907348633316884,-0.004196166988998602,0.0024508794148767163,-1.5894571363792108e-08,23.170175043191403,1.2556359751872137,atomic_float32_sum_float64_v2,81,4.6936547046061605,0.0,0.0,-4.765434251488436,-17.16180363637119,
wse2,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,27.767677293480986,,7.545686,7.915659,0.9999987809773,22.767693655831078,1.261964136240662,7.23498420609477,7.389615250624495,7.224258440166164,7.617370357160813,3.544479738522061e-06,6.308405444830246e-05,0.9998484200671498,0.9983882823457778,1,-23.615646362302833,-0.002561296734995984,0.019073486331337375,-0.0012035392579574184,-2.7293250668496083e-06,22.952084451870824,1.2532238105889826,atomic_float32_sum_float64_v2,81,4.397931861225516,0.0,0.0,-4.999983637649908,-18.0064885687207,
wse2,qe-ms,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,22.478603522962032,,7.545686,7.350203,0.9999996799210994,22.3998951740147,,7.545686,7.350203,7.7459308592365295,6.930782630228157,,0.00035191193833883664,1.0,1.0,,,,,,,,,archived_original,,,,,-0.07870834894733392,-0.3501478589047262,
wse2,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,22.478603522962032,,7.545686,7.350203,0.9999996799210994,18.432835170200544,1.6663220463966204,7.232128020653701,6.803872237566802,7.224909591138084,6.331525740182924,4.911439168869533e-06,8.409371228818257e-05,0.9998445556971985,0.9999719375586561,1,-23.64425659179543,0.00032697405188494106,2.9328978924449626e-12,-0.001840600513276343,-1.7711094397389072e-07,18.66470449758642,1.6762015768658212,atomic_float32_sum_float64_v2,81,4.355486889136955,0.0,0.0,-4.045768352761488,-17.998308251794693,
wse2,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,22.478603522962032,,7.545686,7.350203,0.9999996799210994,18.429183959961257,1.6836049605389314,7.176936976787001,6.6090934171370215,7.225157497887232,6.329621693133301,3.4497441152198726e-06,8.513582681147722e-05,0.9998024245764656,0.9995236618621512,1,23.661422729493644,0.00016348702622858924,-0.008773803707992507,0.0024432341257733864,1.3737451467662444e-06,18.655367709513545,1.6785812499458541,atomic_float32_sum_float64_v2,81,4.332935619633645,0.0,0.0,-4.049419563000775,-18.01455129925784,
wse2,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,22.478603522962032,,7.545686,7.350203,0.9999996799210994,18.389020647321125,1.6389185068559076,7.23498420609477,6.761881149835073,7.224076962484276,6.328947438291777,4.9280695521956e-06,8.496834486283167e-05,0.9998484200671498,0.9981824739852284,1,-23.647308349608007,0.002942766462554224,0.008010864260671926,-0.0011989230201355189,-1.927784510506873e-06,18.62643711150638,1.6703843797884754,atomic_float32_sum_float64_v2,81,4.589598954422399,0.0,0.0,-4.089582875640907,-18.193224821387915,
wse2,qe-ms,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,21.19245643221083,,7.545686,7.869172,1.9999981324174878,21.10070574275753,,7.545686,7.869172,7.746042522545824,8.498648269163786,,0.0007251696977440663,1.0,1.0,,,,,,,,,archived_original,,,,,-0.09175068945329912,-0.43294032358535584,
wse2,tece,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,21.19245643221083,,7.545686,7.869172,1.9999981324174878,17.67539978027301,1.5194951271526036,7.232128020653701,7.395478842186667,7.225074490178827,7.836849302020898,2.712383199641548e-05,0.00028811255140911713,0.9998445556971985,0.997346238132077,1,-15.565490722654152,0.04713875906863089,-15.48576354980148,-0.0028054555257157237,-1.4756974719224363e-05,17.53861494738645,1.2941495050712848,atomic_float32_sum_float64_v2,81,7.264986367197707,0.0,0.0,-3.5170566519378177,-16.595795127327357,
wse2,prophet,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,21.19245643221083,,7.545686,7.869172,1.9999981324174878,17.67387390136761,1.5101530114000616,7.176936976787001,7.537658386762713,7.2258381799853275,7.841516044414769,2.8434310403465646e-05,0.0002873008970813379,0.9998024245764656,0.9975587767474601,1,15.549850463869266,0.05825587681420295,-15.55976867675454,0.003716198603312609,-1.4834176925792582e-05,17.537069802332425,1.2885179993442908,atomic_float32_sum_float64_v2,81,6.799515098333359,0.0,0.0,-3.5185825308432186,-16.602995231337392,
wse2,equiformer-v3,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,21.19245643221083,,7.545686,7.869172,1.9999981324174878,17.676217215401362,1.4916244818240498,7.23498420609477,7.321287307848988,7.22385399669386,7.829602049370791,2.488078846288017e-05,0.00028480058690639543,0.9998484200671498,0.9968961115202094,1,-15.562057495115212,0.07291521344914144,-15.447235107418559,-0.0018382730938135187,-2.0040784562763665e-05,17.512772437641974,1.2852552647027449,atomic_float32_sum_float64_v2,81,6.708726964192465,0.0,0.0,-3.516239216809467,-16.591937928748393,
wse2,qe-ms,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,19.853000984712573,,7.545686,8.117051,2.000000920032733,20.71708542305242,,7.545686,8.117051,7.746042522545824,8.404153908359167,,0.0005283079340503247,1.0,1.0,,,,,,,,,archived_original,,,,,0.864084438339848,4.3524122071278795,
wse2,tece,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,19.853000984712573,,7.545686,8.117051,2.000000920032733,17.26537431989356,1.5596662248885673,7.232128020653701,7.623628616072686,7.225754642486642,7.746012406374557,1.5810380210218035e-05,0.00016184237196303908,0.9998445556971985,0.999170171414596,2,-15.567398071287105,0.05346025739451467,-9.34257507323888,-0.0028052670615055886,-1.5002205257744674e-05,17.103658678899777,1.3321100000037167,atomic_float32_sum_float64_v2,81,6.756575643317774,0.0,0.0,-2.5876266648190125,-13.033932083172541,
wse2,prophet,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,19.853000984712573,,7.545686,8.117051,2.000000920032733,17.26194109235526,1.5607561383931823,7.176936976787001,7.699272939906354,7.225585523821419,7.745543201720029,1.628264615335259e-05,0.00015902238826896755,0.9998024245764656,0.9976108514861429,1,15.633773803712867,0.046430315290673395,-9.281158447262467,0.003709254946027918,-1.0749271937175267e-05,17.101293346410557,1.3213624920444256,atomic_float32_sum_float64_v2,81,6.782663871068507,0.0,0.0,-2.591059892357311,-13.05122532534254,
wse2,equiformer-v3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,19.853000984712573,,7.545686,8.117051,2.000000920032733,17.194529942103397,1.5397363779497963,7.23498420609477,7.61420664976421,7.224265167164406,7.743256534022711,1.614279230813237e-05,0.00015361320858275725,0.9998484200671498,0.9976853856591588,2,-15.572357177732398,0.06174360002846147,-9.217834472652923,-0.0018385796319866602,-1.1112576438691135e-05,17.02034910347896,1.3207052983644774,atomic_float32_sum_float64_v2,81,6.652469949796796,0.0,0.0,-2.6584710426091753,-13.39077676295025,
